Step: 1384, Loss: 1.611465, Acc: 0.210938
Step: 1392, Loss: 1.612230, Acc: 0.156250
Step: 1400, Loss: 1.610122, Acc: 0.226562
Step: 1408, Loss: 1.616320, Acc: 0.171875
Step: 1416, Loss: 1.611268, Acc: 0.171875
Step: 1424, Loss: 1.611646, Acc: 0.164062
Step: 1432, Loss: 1.611954, Acc: 0.179688
Step: 1440, Loss: 1.609571, Acc: 0.234375
Step: 1448, Loss: 1.610492, Acc: 0.156250
Step: 1456, Loss: 1.611207, Acc: 0.257812
Step: 1464, Loss: 1.611512, Acc: 0.187500
Step: 1472, Loss: 1.610339, Acc: 0.187500
Step: 1480, Loss: 1.611730, Acc: 0.187500
Step: 1488, Loss: 1.609965, Acc: 0.210938
Step: 1496, Loss: 1.610836, Acc: 0.187500
Step: 1504, Loss: 1.607484, Acc: 0.273438
Step: 1512, Loss: 1.611621, Acc: 0.171875
Step: 1520, Loss: 1.610546, Acc: 0.179688
Step: 1528, Loss: 1.611108, Acc: 0.179688
Step: 1536, Loss: 1.608766, Acc: 0.242188
Step: 1544, Loss: 1.610296, Acc: 0.234375
Step: 1552, Loss: 1.610967, Acc: 0.218750
Step: 1560, Loss: 1.609331, Acc: 0.195312
Step: 1568, Loss: 1.608554, Acc: 0.296875
Step: 1576, Loss: 1.610815, Acc: 0.140625
Step: 1584, Loss: 1.610031, Acc: 0.203125
Step: 1592, Loss: 1.610232, Acc: 0.195312
Step: 1600, Loss: 1.611609, Acc: 0.187500
Step: 1608, Loss: 1.610907, Acc: 0.164062
Step: 1616, Loss: 1.609772, Acc: 0.218750
Step: 1624, Loss: 1.607855, Acc: 0.226562
Step: 1632, Loss: 1.606180, Acc: 0.250000
Step: 1640, Loss: 1.616610, Acc: 0.156250
Step: 1648, Loss: 1.614988, Acc: 0.148438
Step: 1656, Loss: 1.614673, Acc: 0.132812
Step: 1664, Loss: 1.608371, Acc: 0.210938
Step: 1672, Loss: 1.609033, Acc: 0.218750
Step: 1680, Loss: 1.610133, Acc: 0.171875
Step: 1688, Loss: 1.611872, Acc: 0.187500
Step: 1696, Loss: 1.609800, Acc: 0.171875
Step: 1704, Loss: 1.611713, Acc: 0.187500
Step: 1712, Loss: 1.611997, Acc: 0.187500
Step: 1720, Loss: 1.611024, Acc: 0.171875
Step: 1728, Loss: 1.610108, Acc: 0.234375
Step: 1736, Loss: 1.611275, Acc: 0.164062
Step: 1744, Loss: 1.608837, Acc: 0.257812
Step: 1752, Loss: 1.611740, Acc: 0.179688
Step: 1760, Loss: 1.609165, Acc: 0.187500
Step: 1768, Loss: 1.607583, Acc: 0.226562
Step: 1776, Loss: 1.615605, Acc: 0.203125
Step: 1784, Loss: 1.610116, Acc: 0.226562
Step: 1792, Loss: 1.607092, Acc: 0.218750
Step: 1800, Loss: 1.607704, Acc: 0.234375
Step: 1808, Loss: 1.612349, Acc: 0.164062
Step: 1816, Loss: 1.613361, Acc: 0.132812
Step: 1824, Loss: 1.610517, Acc: 0.210938
Step: 1832, Loss: 1.612681, Acc: 0.226562
Step: 1840, Loss: 1.606441, Acc: 0.250000
Step: 1848, Loss: 1.607291, Acc: 0.234375
Step: 1856, Loss: 1.607777, Acc: 0.242188
Step: 1864, Loss: 1.608180, Acc: 0.210938
Step: 1872, Loss: 1.614155, Acc: 0.156250
Step: 1880, Loss: 1.610886, Acc: 0.187500
Step: 1888, Loss: 1.605783, Acc: 0.250000
Step: 1896, Loss: 1.608783, Acc: 0.226562
Step: 1904, Loss: 1.608160, Acc: 0.226562
Step: 1912, Loss: 1.613417, Acc: 0.179688
Step: 1920, Loss: 1.609075, Acc: 0.217054
Step: 1928, Loss: 1.611400, Acc: 0.139535
Step: 1936, Loss: 1.612473, Acc: 0.186047
Step: 1944, Loss: 1.607976, Acc: 0.224806
Step: 1952, Loss: 1.609079, Acc: 0.201550
Step: 1960, Loss: 1.609048, Acc: 0.224806
Step: 1968, Loss: 1.610054, Acc: 0.178295
Step: 1976, Loss: 1.609423, Acc: 0.209302
Step: 1984, Loss: 1.609445, Acc: 0.193798
Step: 1992, Loss: 1.608276, Acc: 0.240310
Step: 2000, Loss: 1.613006, Acc: 0.147287
Step: 2008, Loss: 1.610190, Acc: 0.201550
Step: 2016, Loss: 1.609820, Acc: 0.193798
Step: 2024, Loss: 1.608552, Acc: 0.226562
Step: 2032, Loss: 1.611340, Acc: 0.203125
Step: 2040, Loss: 1.610066, Acc: 0.140625
Step: 2048, Loss: 1.609635, Acc: 0.226562
Step: 2056, Loss: 1.607743, Acc: 0.242188
Step: 2064, Loss: 1.610091, Acc: 0.187500
Step: 2072, Loss: 1.610498, Acc: 0.171875
Step: 2080, Loss: 1.607754, Acc: 0.226562
Step: 2088, Loss: 1.608468, Acc: 0.203125
Step: 2096, Loss: 1.609164, Acc: 0.203125
Step: 2104, Loss: 1.607223, Acc: 0.250000
Step: 2112, Loss: 1.608053, Acc: 0.250000
Step: 2120, Loss: 1.605972, Acc: 0.257812
Step: 2128, Loss: 1.607859, Acc: 0.234375
Step: 2136, Loss: 1.606368, Acc: 0.234375
Step: 2144, Loss: 1.611861, Acc: 0.171875
Step: 2152, Loss: 1.608218, Acc: 0.203125
Step: 2160, Loss: 1.614008, Acc: 0.125000
Step: 2168, Loss: 1.610214, Acc: 0.226562
Step: 2176, Loss: 1.609487, Acc: 0.187500
Step: 2184, Loss: 1.611997, Acc: 0.140625
Step: 2192, Loss: 1.606216, Acc: 0.265625
Step: 2200, Loss: 1.605440, Acc: 0.320312
Step: 2208, Loss: 1.611032, Acc: 0.179688
Step: 2216, Loss: 1.612783, Acc: 0.132812
Step: 2224, Loss: 1.607339, Acc: 0.210938
Step: 2232, Loss: 1.609488, Acc: 0.187500
Step: 2240, Loss: 1.611825, Acc: 0.156250
Step: 2248, Loss: 1.609728, Acc: 0.164062
Step: 2256, Loss: 1.608759, Acc: 0.234375
Step: 2264, Loss: 1.615764, Acc: 0.140625
Step: 2272, Loss: 1.615885, Acc: 0.156250
Step: 2280, Loss: 1.614318, Acc: 0.203125
Step: 2288, Loss: 1.604729, Acc: 0.195312
Step: 2296, Loss: 1.612822, Acc: 0.132812
Step: 2304, Loss: 1.607469, Acc: 0.289062
Step: 2312, Loss: 1.611132, Acc: 0.187500
Step: 2320, Loss: 1.610384, Acc: 0.179688
Step: 2328, Loss: 1.608749, Acc: 0.226562
Step: 2336, Loss: 1.610300, Acc: 0.171875
Step: 2344, Loss: 1.611722, Acc: 0.156250
Step: 2352, Loss: 1.608680, Acc: 0.218750
Step: 2360, Loss: 1.608481, Acc: 0.265625
Step: 2368, Loss: 1.609016, Acc: 0.250000
Step: 2376, Loss: 1.610511, Acc: 0.203125
Step: 2384, Loss: 1.613848, Acc: 0.195312
Step: 2392, Loss: 1.609845, Acc: 0.203125
Step: 2400, Loss: 1.612143, Acc: 0.179688
Step: 2408, Loss: 1.609626, Acc: 0.218750
Step: 2416, Loss: 1.609587, Acc: 0.234375
Step: 2424, Loss: 1.603723, Acc: 0.312500
Step: 2432, Loss: 1.610679, Acc: 0.218750
Step: 2440, Loss: 1.610931, Acc: 0.195312
Step: 2448, Loss: 1.612308, Acc: 0.179688
Step: 2456, Loss: 1.609554, Acc: 0.218750
Step: 2464, Loss: 1.611364, Acc: 0.203125
Step: 2472, Loss: 1.610603, Acc: 0.210938
Step: 2480, Loss: 1.612089, Acc: 0.195312
Step: 2488, Loss: 1.613898, Acc: 0.195312
